UserName,Handles,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image_link,Tweet_URL
@SamiaFacts,SamiaFacts,"Jul 29, 2023 · 3:43 PM UTC","Ndio maana mzunguko wa pesa umeongeza vijana wana ajira wanatengeneza fedha.
#MamaYukoKazini","Ndio maana mzunguko wa pesa umeongeza vijana wana ajira wanatengeneza fedha.
#MamaYukoKazini",,12,,,https://nitter.net/pic/profile_images%2F1595825483278581760%2Fx1LKwxNQ_bigger.jpg,https://nitter.net/SamiaFacts/status/1685315000653488128#m
@mamayukokazini,Mama yuko Kazini,"Jul 29, 2023 · 9:59 AM UTC","Mheshimiwa Rais Samia Suluhu anaendelea kuimarisha uhuru wa kujieleza nchini kupitia majukwaa mbalimbali.

Serikali inapokea maoni yanayotolewa kwani yanaiwezesha kufahamu changamoto kutoka kwa wananchi na kuzifanyia kazi kwa wakati. #MamaYukoKazini","Mheshimiwa Rais Samia Suluhu anaendelea kuimarisha uhuru wa kujieleza nchini kupitia majukwaa mbalimbali.

Serikali inapokea maoni yanayotolewa kwani yanaiwezesha kufahamu changamoto kutoka kwa wananchi na kuzifanyia kazi kwa wakati. #MamaYukoKazini",,12,,,https://nitter.net/pic/profile_images%2F1480982390491258881%2F1YIAlTRj_bigger.jpg,https://nitter.net/mamayukokazini/status/1685228431502381056#m
@Iddykibua,Mjamaahalisi_Tz🇹🇿,"Jul 30, 2023 · 8:44 PM UTC",Ssa mbona hujaeleweka aisee maana Odinga kasema yotehapo hakuna tatzo llote ni Ruto ndo kaingia mitini kwa kusema kuwa yye ana hasira hawez tokea kwenye upatanisho so wap Rais Samia kadhallka????  Ulitaka LISU ndo aalikwe ??,Ssa mbona hujaeleweka aisee maana Odinga kasema yotehapo hakuna tatzo llote ni Ruto ndo kaingia mitini kwa kusema kuwa yye ana hasira hawez tokea kwenye upatanisho so wap Rais Samia kadhallka????  Ulitaka LISU ndo aalikwe ??,,12,,,https://nitter.net/pic/profile_images%2F1438409747519184899%2FAvcpT90o_bigger.jpg,https://nitter.net/Iddykibua/status/1685753215688597504#m
@AmosKasese,Mon Kez,"Jul 30, 2023 · 7:13 PM UTC",🤣🤣🤣🤣 nimecheka sana,🤣🤣🤣🤣 nimecheka sana,,12,,,https://nitter.net/pic/profile_images%2F1340882957570105345%2Fbrm2zOXr_bigger.jpg,https://nitter.net/AmosKasese/status/1685730302134472705#m
@mamayukokazini,Mama yuko Kazini,"Jul 30, 2023 · 4:16 PM UTC","Sehemu ya maelfu ya wanachama wa CCM mkoani Mwanza katika mkutano wa hadhara hii leo, kusikiliza na kuunga mkono miradi ya maendeleo inayoendelea kutekelezwa chini ya uongozi wa Mheshimiwa Rais Samia Suluhu Hassan, nchi nzima. #MamaYukoKazini","Sehemu ya maelfu ya wanachama wa CCM mkoani Mwanza katika mkutano wa hadhara hii leo, kusikiliza na kuunga mkono miradi ya maendeleo inayoendelea kutekelezwa chini ya uongozi wa Mheshimiwa Rais Samia Suluhu Hassan, nchi nzima. #MamaYukoKazini",,12,,,https://nitter.net/pic/profile_images%2F1480982390491258881%2F1YIAlTRj_bigger.jpg,https://nitter.net/mamayukokazini/status/1685685831921516544#m
@Taifadigital,Taifa Digital Forum,"Jul 30, 2023 · 4:12 PM UTC","SERIKALI YA RAIS SAMIA IKO MAKINI, MKATABA UKO VUZIRI

“Niwathibitishie, mkataba huu uko vizuri, serikali ya Dkt. Samia Suluhu Hassan iko makini, imefanya kazi kubwa, na nia yake kama walivyosema wenzangu waliotangulia ni utekelezaji wa ilani ya Uchaguzi,","SERIKALI YA RAIS SAMIA IKO MAKINI, MKATABA UKO VUZIRI

“Niwathibitishie, mkataba huu uko vizuri, serikali ya Dkt. Samia Suluhu Hassan iko makini, imefanya kazi kubwa, na nia yake kama walivyosema wenzangu waliotangulia ni utekelezaji wa ilani ya Uchaguzi,",,12,,,https://nitter.net/pic/profile_images%2F1640115766623125505%2FeiadnUQm_bigger.jpg,https://nitter.net/Taifadigital/status/1685684685282725888#m
@Taifadigital,Taifa Digital Forum,"Jul 30, 2023 · 2:42 PM UTC","""Uwekezaji huu ni muhimu. Nchi yenu ipo salama na inaendelea vizuri. Rais Dkt. Samia Suluhu Hassan anaendelea kufanya kazi, tumuombee na tumtie moyo.""","""Uwekezaji huu ni muhimu. Nchi yenu ipo salama na inaendelea vizuri. Rais Dkt. Samia Suluhu Hassan anaendelea kufanya kazi, tumuombee na tumtie moyo.""",,12,,,https://nitter.net/pic/profile_images%2F1640115766623125505%2FeiadnUQm_bigger.jpg,https://nitter.net/Taifadigital/status/1685662062574264321#m
@benjamathayo4,PUTINI,"Jul 30, 2023 · 1:54 PM UTC",Akae mwez huko akirud tumpe urais samia atupishe tu hamna namna.,Akae mwez huko akirud tumpe urais samia atupishe tu hamna namna.,,12,,,https://nitter.net/pic/profile_images%2F1684842044135493632%2FPjHCgz-0_bigger.jpg,https://nitter.net/benjamathayo4/status/1685649995737784320#m
@G_Okangi,George Okangi🇹🇿,"Jul 30, 2023 · 1:47 PM UTC",Hakuna serikali sikivu Kama ya SSH sisi Kama wananchi tunaunga mkono juhudi za serikali chini ya M.kiti wa CCM Dkt Samia Suluhu Hassan.,Hakuna serikali sikivu Kama ya SSH sisi Kama wananchi tunaunga mkono juhudi za serikali chini ya M.kiti wa CCM Dkt Samia Suluhu Hassan.,,12,,,https://nitter.net/pic/profile_images%2F1281449167148253185%2FNlf7W67Q_bigger.jpg,https://nitter.net/G_Okangi/status/1685648367337017346#m
@maji_mowi,Wizara ya Maji Tanzania,"Jul 30, 2023 · 10:39 AM UTC",wamempongeza Mhe. Rais Samia kwa kuendelea kufanikisha maendeleo makubwa ya kijamii na kiuchumi katika wilaya ya Urambo.,wamempongeza Mhe. Rais Samia kwa kuendelea kufanikisha maendeleo makubwa ya kijamii na kiuchumi katika wilaya ya Urambo.,,12,,,https://nitter.net/pic/profile_images%2F676746313975783425%2FcuKsKjmm_bigger.png,https://nitter.net/maji_mowi/status/1685600998906068992#m
@maji_mowi,Wizara ya Maji Tanzania,"Jul 30, 2023 · 10:39 AM UTC","Akizungumza na wananchi waliohudhuria hafla hiyo amesema kuwa baada ya ahadi ya muda mrefu ya Mhe. Samia Suluhu Hassan,  Rais wa Jamhuri ya Muungano wa Tanzania kuhusu kero ya majisafi katika wilaya za Urambo, Kaliua na Sikonge sasa imepata suluhu","Akizungumza na wananchi waliohudhuria hafla hiyo amesema kuwa baada ya ahadi ya muda mrefu ya Mhe. Samia Suluhu Hassan,  Rais wa Jamhuri ya Muungano wa Tanzania kuhusu kero ya majisafi katika wilaya za Urambo, Kaliua na Sikonge sasa imepata suluhu",,12,,,https://nitter.net/pic/profile_images%2F676746313975783425%2FcuKsKjmm_bigger.png,https://nitter.net/maji_mowi/status/1685600992228716545#m
@maji_mowi,Wizara ya Maji Tanzania,"Jul 30, 2023 · 10:39 AM UTC","Mhe. Aweso amekabidhi wakandarasi hao katika tukio lililopewa jina Urambo Samia Festival, na chanzo cha cha maji cha mradi litakuwa ziowa Victoria kwa kuhudumia wilaya za Urambo, Kaliua na Sikonge ambapo kiasi cha shilingi bilioni 143.26 zitatumika.","Mhe. Aweso amekabidhi wakandarasi hao katika tukio lililopewa jina Urambo Samia Festival, na chanzo cha cha maji cha mradi litakuwa ziowa Victoria kwa kuhudumia wilaya za Urambo, Kaliua na Sikonge ambapo kiasi cha shilingi bilioni 143.26 zitatumika.",,12,,,https://nitter.net/pic/profile_images%2F676746313975783425%2FcuKsKjmm_bigger.png,https://nitter.net/maji_mowi/status/1685600989057810432#m
@LamuRafael77,Lamu Rafael,"Jul 31, 2023 · 7:09 PM UTC","#Ushauri
Vyama vya Upinzani vinatakiwa kukumbuka matumizi mazuri ya majukwaa ya Kisiasa,Rais @SuluhuSamia hakuruhusu mikutano ya hadhara yenye lengo la kutugawa sisi Watanzania kwa misingi ya kidini,Chadema mnapaswa kujisahihisha na kuacha kumchafua Rais Samia,Fanyeni Siasa Safi","#Ushauri
Vyama vya Upinzani vinatakiwa kukumbuka matumizi mazuri ya majukwaa ya Kisiasa,Rais @SuluhuSamia hakuruhusu mikutano ya hadhara yenye lengo la kutugawa sisi Watanzania kwa misingi ya kidini,Chadema mnapaswa kujisahihisha na kuacha kumchafua Rais Samia,Fanyeni Siasa Safi",,12,,,https://nitter.net/pic/profile_images%2F1571740401245061120%2F9zVWGqYy_bigger.jpg,https://nitter.net/LamuRafael77/status/1686091856185024512#m
@mamayukokazini,Mama yuko Kazini,"Jul 31, 2023 · 5:21 PM UTC","Mikutano ya kisiasa ya hadhara inayoendelea kote nchini ni matunda ya uongozi wa Mheshimiwa Rais Samia Suluhu Hassan unaojali na kulinda uhuru wa kila Mtanzania kutoa maoni. Kama tunavyoendelea kuona, mapokeo na mahudhurio ya wananchi kwenye mikutano yanatuma ujumbe wa wananchi…","Mikutano ya kisiasa ya hadhara inayoendelea kote nchini ni matunda ya uongozi wa Mheshimiwa Rais Samia Suluhu Hassan unaojali na kulinda uhuru wa kila Mtanzania kutoa maoni. Kama tunavyoendelea kuona, mapokeo na mahudhurio ya wananchi kwenye mikutano yanatuma ujumbe wa wananchi…",,12,,,https://nitter.net/pic/profile_images%2F1480982390491258881%2F1YIAlTRj_bigger.jpg,https://nitter.net/mamayukokazini/status/1686064626063040512#m
@orpptanzania,Msajili wa Vyama vya Siasa,"Jul 31, 2023 · 4:36 PM UTC","2/2 Jaji Mutungi kuendelea kupokea maoni ya wadau wa demokrasia nchini ni kutekeleza maelekezo ya Rais wa Jamhuri ya Muungano wa Tanzania @samia baada ya Kikosi Kazi cha Rais kuwasilisha mapendekezo yake yaliyolenga kuimarisha mazingira ya demokrasia nchini. 
#nyumbayademokrasia","2/2 Jaji Mutungi kuendelea kupokea maoni ya wadau wa demokrasia nchini ni kutekeleza maelekezo ya Rais wa Jamhuri ya Muungano wa Tanzania @samia baada ya Kikosi Kazi cha Rais kuwasilisha mapendekezo yake yaliyolenga kuimarisha mazingira ya demokrasia nchini. 
#nyumbayademokrasia",,12,,,https://nitter.net/pic/profile_images%2F1305815811861381127%2F6DR3mGsX_bigger.jpg,https://nitter.net/orpptanzania/status/1686053264993796107#m
@ElienezaMmwiri,Elieneza Matale Mmwiri,"Jul 31, 2023 · 2:23 PM UTC",Mimi sioni kama anapitia kipindi kigumu yeye maisha safi anayo milo mitatu ya nguvu anayo kuna watu walilima wakakosa nafaka sasa kwao milo mitatu hamna ni uji asubuhi mchana deshi na usiku ni uji tena inakua imeisha hiyo wala samia wawatu hana shida aninjoiii,Mimi sioni kama anapitia kipindi kigumu yeye maisha safi anayo milo mitatu ya nguvu anayo kuna watu walilima wakakosa nafaka sasa kwao milo mitatu hamna ni uji asubuhi mchana deshi na usiku ni uji tena inakua imeisha hiyo wala samia wawatu hana shida aninjoiii,,12,,,https://nitter.net/pic/profile_images%2F1661418741547008013%2F4GEXfnti_bigger.jpg,https://nitter.net/ElienezaMmwiri/status/1686019751733043200#m
@maji_mowi,Wizara ya Maji Tanzania,"Jul 31, 2023 · 1:11 PM UTC","ziwa Victoria ukiendelea kutekelezwa.
Wananchi wa halmashauri ya wilaya ya Kaliua wamepongeza kazi inayofanywa na Serikali katika juhudi za Serikali ya awamu sita inayoongozwa na Mhe. Samia Suluhu Hassan, Rais wa Jamhuri ya Muungano wa Tanzania kwa kutoa majibu ya changamoto","ziwa Victoria ukiendelea kutekelezwa.
Wananchi wa halmashauri ya wilaya ya Kaliua wamepongeza kazi inayofanywa na Serikali katika juhudi za Serikali ya awamu sita inayoongozwa na Mhe. Samia Suluhu Hassan, Rais wa Jamhuri ya Muungano wa Tanzania kwa kutoa majibu ya changamoto",,12,,,https://nitter.net/pic/profile_images%2F676746313975783425%2FcuKsKjmm_bigger.png,https://nitter.net/maji_mowi/status/1686001733225324544#m
@SamiaFacts,SamiaFacts,"Jul 31, 2023 · 11:21 AM UTC","Wakulima sasa watatumia mbolea zaidi kwa uzalishaji zaidi.
#MamaYukoKazini","Wakulima sasa watatumia mbolea zaidi kwa uzalishaji zaidi.
#MamaYukoKazini",,12,,,https://nitter.net/pic/profile_images%2F1595825483278581760%2Fx1LKwxNQ_bigger.jpg,https://nitter.net/SamiaFacts/status/1685973953863471108#m
